TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-124,67th/Cicero,2025,Current Obligations,Program administration,-17600,10/02/2002,12/31/2026
T-139,Ravenswood Corridor,2025,Current Obligations,Program administration,-97600,03/09/2005,12/31/2029
T-166,North Pullman,2025,Current Obligations,RA - Pullman Park,-589300,06/30/2009,12/31/2033
T-126,Madden/Wells,2025,Current Obligations,RA - Phase 2A rental interest subsidy pmts,-192400,11/06/2002,12/31/2026
T-123,Avalon Park/South Shore,2025,Current Obligations,Program administration,-31500,07/31/2002,12/31/2026
T-166,North Pullman,2025,Current Obligations,RA - Whole Foods Distribution,-798700,06/30/2009,12/31/2033
T-122,Drexel Boulevard,2025,Current Obligations,Program administration,-20800,07/10/2002,12/31/2026
T-129,Diversey/Narragansett,2025,Current Obligations,Program administration,-131000,02/05/2003,12/31/2027
T-129,Diversey/Narragansett,2025,Current Obligations,RA - Brickyard Shopping Center Note A,-1632100,02/05/2003,12/31/2027
T-108,Humboldt Park Commercial,2025,Current Obligations,Program administration,-207200,06/27/2001,12/31/2025
T-134,Devon/Sheridan,2025,Current Obligations,Program administration,-13900,03/31/2004,12/31/2028
T-134,Devon/Sheridan,2025,Current Obligations,RA - Loyola University,-145000,03/31/2004,12/31/2028
T-167,Avondale,2025,Current Obligations,Program administration,-7400,07/29/2009,12/31/2033
T-141,26th and King Drive,2025,Current Obligations,RA - Mercy Hospital,-752600,01/11/2006,12/31/2030
T-142,Western Avenue/Rock Island,2025,Current Obligations,Program administration,-76700,02/08/2006,12/31/2030
T-157,Hollywood/Sheridan,2025,Current Obligations,Program administration,-13100,11/07/2007,12/31/2031
T-157,Hollywood/Sheridan,2025,Current Obligations,RA - Hollywood House,-575800,11/07/2007,12/31/2031
T-125,119th/I-57,2025,Current Obligations,RA - Renaissance Estates PayGo,-253400,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,RA - Marshfield Plaza,-2023000,11/06/2002,12/31/2026
T-126,Madden/Wells,2025,Current Obligations,RA - Phase 2C taxable note pmts,-42000,11/06/2002,12/31/2026
T-143,63rd/Ashland,2025,Current Obligations,Program administration,-72900,03/29/2006,12/31/2030
T-166,North Pullman,2025,Current Obligations,Program administration,-75200,06/30/2009,12/31/2033
T-141,26th and King Drive,2025,Current Obligations,Program administration,-48300,01/11/2006,12/31/2030
T-128,Commercial Avenue,2025,Current Obligations,Program administration,-75800,11/13/2002,12/31/2026
T-126,Madden/Wells,2025,Current Obligations,Program administration,-73100,11/06/2002,12/31/2026
T-126,Madden/Wells,2025,Current Obligations,"RA - Phase 1A ""For Sale"" Note-1",-240000,11/06/2002,12/31/2026
T-126,Madden/Wells,2025,Current Obligations,RA - Phase 1A rental interest subsidy,-52000,11/06/2002,12/31/2026
T-126,Madden/Wells,2025,Current Obligations,RA - Phase 1B rental interest subsidy,-55900,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,Program administration,-254400,11/06/2002,12/31/2026
T-140,79th/Cicero,2025,Current Obligations,Program administration,-34900,06/08/2005,12/31/2029
T-140,79th/Cicero,2025,Current Obligations,RA - Scottsdale Shopping Center Note 1A,-520600,06/08/2005,12/31/2029
T-121,47th/Halsted,2025,Current Obligations,Program administration,-190600,05/29/2002,12/31/2026
T-127,87th/Cottage Grove,2025,Current Obligations,Program administration,-119200,11/13/2002,12/31/2026
T-152,Little Village Industrial Corridor,2025,Proposed Projects,Proposed redevelopment project #1,-316700,06/13/2007,12/31/2031
T-109,Lawrence/Broadway,2025,Proposed Projects,Proposed redevelopment project #1,-1250000,06/27/2001,12/31/2025
T-042,Sanitary Drainage and Ship Canal,2025,Proposed Transfers,To Little Village (Proposed redevelopment project),-316700,07/24/1991,12/31/2027
T-152,Little Village Industrial Corridor,2025,Proposed Transfers,From Sanitary & Ship Canal (Proposed redevelopment project),316700,06/13/2007,12/31/2031
T-169,Ewing Avenue,2025,Revenue,Property tax,355300,03/10/2010,12/31/2034
T-176,107th/Halsted,2025,Revenue,Property tax,1424600,03/05/2014,12/31/2038
T-172,Randolph/Wells,2025,Revenue,Property tax,559900,06/09/2010,12/31/2034
T-173,Montrose/Clarendon,2025,Revenue,Property tax,217300,06/30/2010,12/31/2034
T-175,51st/Lake Park,2025,Revenue,Property tax,218400,11/15/2012,12/31/2036
T-180,Red Purple Transit,2025,Revenue,Property tax,21057500,11/20/2016,12/31/2052
T-177,Foster/California,2025,Revenue,Property tax,122000,03/05/2014,12/31/2038
T-178,Washington Park,2025,Revenue,Property tax,798400,10/08/2014,12/31/2038
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2025,Revenue,Property tax,3809600,06/10/1998,12/31/2034
T-029,Michigan/Cermak,2025,Revenue,Property tax,1763300,09/13/1989,12/31/2025
T-021,Englewood Mall,2025,Revenue,Property tax,610200,11/29/1989,12/31/2025
T-045,Stockyards Southeast Quadrant Industrial,2025,Revenue,Property tax,1837500,02/26/1992,12/31/2028
T-036,Read-Dunning,2025,Revenue,Property tax,3045600,01/11/1991,12/31/2027
T-062,Roosevelt/Racine,2025,Revenue,Property tax,1905400,11/04/1998,12/31/2034
T-042,Sanitary Drainage and Ship Canal,2025,Revenue,Property tax,719700,07/24/1991,12/31/2027
T-095,Midwest,2025,Revenue,Property tax,18208100,05/17/2000,12/31/2036
T-157,Hollywood/Sheridan,2025,Revenue,Property tax,186200,11/07/2007,12/31/2031
T-121,47th/Halsted,2025,Revenue,Property tax,3672300,05/29/2002,12/31/2026
T-108,Humboldt Park Commercial,2025,Revenue,Property tax,3996900,06/27/2001,12/31/2025
